file,asset_id,serial,vendor,product,version,device_class,cdx_type,purdue_level,base_platform,sector,network_exposure,lifecycle,tlp,safety_sil,protocols,component_count,vulnerable_component_count
ICS-0011_omron_sysmac-nj-machine-controller-nj101-1000_SBOM.json,ICS-0011,urn:uuid:7052affb-4ee7-56a4-add0-f415ed3c76f2,OMRON Corporation,SYSMAC NJ Machine Controller NJ101-1000,7.8.34,plc,firmware,1,proprietary-rtos,building-automation,dmz-routable,decommission,AMBER,SIL2,ethercat;ethernet-ip;opc-ua,16,5
ICS-0012_omron_sysmac-cj2-plc-cj2m-cpu31_SBOM.json,ICS-0012,urn:uuid:c64c99b5-e50a-5f39-aced-496e3253cf8b,OMRON Corporation,SYSMAC CJ2 PLC CJ2M-CPU31,8.17.32,plc,firmware,1,proprietary-rtos,semiconductor-fab,remote-accessible,post-build,AMBER+STRICT,PLd (ISO 13849),fins;ethernet-ip;modbus-tcp,15,5
ICS-0013_beckhoff_twincat-runtime-controller-cx5140_SBOM.json,ICS-0013,urn:uuid:26bf1632-15d3-59fd-8d67-64ce4f363d5c,Beckhoff Automation,TwinCAT Runtime Controller CX5140,9.6.28,plc,application,1,windows,power-distribution,remote-accessible,decommission,AMBER,PLd (ISO 13849),ethercat;opc-ua;modbus-tcp;profinet,18,5
ICS-0014_wago_pfc200-controller-750-8202_SBOM.json,ICS-0014,urn:uuid:e17b6cf4-cf62-5da8-a373-b5e30f8397f6,WAGO GmbH,PFC200 Controller 750-8202,2.23.31,plc,firmware,1,linux,water-treatment,dmz-routable,operations,AMBER+STRICT,,modbus-tcp;profinet;canopen;mqtt;opc-ua,23,9
ICS-0015_phoenix_axc-f-2152-controller-axc-f-2152_SBOM.json,ICS-0015,urn:uuid:16324b1b-d89f-5075-bf0e-061e3df47283,Phoenix Contact,AXC F 2152 Controller AXC-F-2152,3.23.15,plc,firmware,1,linux,port-and-logistics,dmz-routable,build,AMBER+STRICT,SIL2,profinet;opc-ua;modbus-tcp;mqtt,22,6
ICS-0016_br_x20-controller-x20cp1586_SBOM.json,ICS-0016,urn:uuid:f16136d5-9931-5f8a-9dd4-b296665cae6b,B&R Industrial Automation,X20 Controller X20CP1586,2.17.1,plc,firmware,1,proprietary-rtos,power-generation,isolated-cell,operations,AMBER+STRICT,SIL2,powerlink;opc-ua;modbus-tcp,16,5
ICS-0017_ls-electric_xgt-plc-cpu-xgk-cpuh_SBOM.json,ICS-0017,urn:uuid:86c875c5-10b4-55ae-9d7d-0f3de93c30ff,LS ELECTRIC,XGT PLC CPU XGK-CPUH,2.8.2,plc,firmware,1,proprietary-rtos,transportation-metro,isolated-cell,post-build,AMBER,,modbus-tcp;rapienet;ethernet-ip,12,5
ICS-0018_delta_as-series-plc-as228t-a_SBOM.json,ICS-0018,urn:uuid:bcbfd35e-4b1f-5a13-bc3a-c15cfd0a57da,Delta Electronics,AS Series PLC AS228T-A,2.22.38,plc,firmware,1,proprietary-rtos,transportation-rail,isolated-cell,operations,CLEAR,PLd (ISO 13849),modbus-tcp;ethernet-ip;canopen,12,5
ICS-0019_unitronics_unistream-plc-usp-070-b10_SBOM.json,ICS-0019,urn:uuid:7fc2b8cb-5de7-50c0-bffe-f818f70a4318,Unitronics,UniStream PLC USP-070-B10,4.18.1,plc,firmware,1,linux,pulp-and-paper,remote-accessible,post-build,AMBER+STRICT,,modbus-tcp;canopen;mqtt,18,7
ICS-0020_idec_microsmart-fc6a-plc-fc6a-c40r1ae_SBOM.json,ICS-0020,urn:uuid:baaf8732-5679-5b8d-a43b-b75174c394f5,IDEC Corporation,MicroSmart FC6A PLC FC6A-C40R1AE,3.7.9,plc,firmware,1,proprietary-rtos,pulp-and-paper,remote-accessible,build,CLEAR,,modbus-tcp;bacnet-ip,14,3
ICS-0021_panasonic_fp7-series-plc-afp7cps41_SBOM.json,ICS-0021,urn:uuid:79dbef18-e5cf-5c43-a6ee-67487152b5f3,"Panasonic Industry Co., Ltd.",FP7 Series PLC AFP7CPS41,7.14.23,plc,firmware,1,proprietary-rtos,pulp-and-paper,control-network,post-build,GREEN,SIL2,modbus-tcp;mewtocol,12,4
ICS-0022_keyence_kv-8000-plc-kv-8000_SBOM.json,ICS-0022,urn:uuid:8bd46e4d-db13-5c3c-960f-598d15f4e292,KEYENCE Corporation,KV-8000 PLC KV-8000,5.2.17,plc,firmware,1,proprietary-rtos,petrochemical,dmz-routable,build,GREEN,PLd (ISO 13849),ethernet-ip;modbus-tcp;kv-protocol,14,5
ICS-0023_fuji_micrex-sx-plc-np1ps-245r_SBOM.json,ICS-0023,urn:uuid:e6b1c4b2-6f92-5bd6-997a-183475c1b518,Fuji Electric,MICREX-SX PLC NP1PS-245R,4.5.32,plc,firmware,1,proprietary-rtos,port-and-logistics,control-network,post-build,CLEAR,SIL2,modbus-tcp;fl-net,15,8
ICS-0024_codesys_codesys-control-runtime-for-linux-sl_SBOM.json,ICS-0024,urn:uuid:7c68646d-2986-541b-80e9-274a61fe6150,CODESYS GmbH,CODESYS Control Runtime for Linux SL,2.9.23,plc-runtime,application,1,linux,pharmaceutical,dmz-routable,decommission,AMBER,,modbus-tcp;opc-ua;ethercat;canopen;profinet,19,7
ICS-0025_abb_rtu560-telecontrol-unit-560cmu05_SBOM.json,ICS-0025,urn:uuid:cee57d43-3075-521e-bd4d-42508804d83f,ABB Ltd,RTU560 Telecontrol Unit 560CMU05,6.22.28,rtu,firmware,1,linux,oil-and-gas-upstream,dmz-routable,post-build,GREEN,,iec-60870-5-104;dnp3;iec-61850-mms;modbus-tcp,16,7
ICS-0026_schneider_scadapack-rtu-474i_SBOM.json,ICS-0026,urn:uuid:b6ea3e78-fe37-58c6-8d63-cecd73fc3cd9,Schneider Electric,SCADAPack RTU 474i,6.23.2,rtu,firmware,1,vxworks,transportation-rail,control-network,operations,CLEAR,,dnp3;modbus-tcp;iec-60870-5-104,13,5
ICS-0027_ge_d20-mx-substation-controller-d20mx_SBOM.json,ICS-0027,urn:uuid:e18bca38-1191-51b3-8c45-760b2f1d633b,GE Vernova,D20 MX Substation Controller D20MX,5.15.10,rtu,firmware,1,linux,semiconductor-fab,dmz-routable,operations,GREEN,,dnp3;iec-61850-mms;modbus-tcp,14,4
ICS-0028_siemens_sicam-a8000-rtu-cp-8050_SBOM.json,ICS-0028,urn:uuid:ab354b44-6c2d-5f55-90ab-cf218ddd9872,Siemens AG,SICAM A8000 RTU CP-8050,5.5.14,rtu,firmware,1,linux,transportation-rail,isolated-cell,decommission,AMBER,,iec-60870-5-104;iec-61850-mms;dnp3;modbus-tcp,15,5
ICS-0029_hitachi-energy_rtu500-series-560cmu80_SBOM.json,ICS-0029,urn:uuid:f64ea563-cff5-508a-bd79-007d764dd204,Hitachi Energy,RTU500 Series 560CMU80,3.24.1,rtu,firmware,1,proprietary-rtos,oil-and-gas-upstream,control-network,operations,AMBER,,iec-60870-5-104;iec-61850-mms;dnp3,17,8
ICS-0030_moxa_iopac-programmable-controller-8600-cpu30_SBOM.json,ICS-0030,urn:uuid:3c5addd5-9cfc-500c-8d81-18b37b2777eb,Moxa Inc.,ioPAC Programmable Controller 8600-CPU30,2.23.10,rtu,firmware,1,linux,port-and-logistics,control-network,decommission,GREEN,,modbus-tcp;dnp3;mqtt,21,9
ICS-0031_red-lion_data-station-plus-rtu-dspsx000_SBOM.json,ICS-0031,urn:uuid:ece3b100-a7fe-5752-9b69-41dd647dc158,Red Lion Controls,Data Station Plus RTU DSPSX000,8.21.5,rtu,firmware,1,linux,transportation-metro,dmz-routable,design,AMBER,,modbus-tcp;dnp3;ethernet-ip;mqtt,22,10
ICS-0032_sel_sel-451-protection-system-451-5_SBOM.json,ICS-0032,urn:uuid:d6ac9a67-8acb-51c8-98ff-4d8ef73d4002,Schweitzer Engineering Laboratories,SEL-451 Protection System 451-5,5.16.24,ied,firmware,1,proprietary-rtos,power-generation,isolated-cell,decommission,AMBER,,iec-61850-mms;iec-61850-goose;dnp3;modbus-tcp,17,6
ICS-0033_sel_sel-3530-rtac-3530_SBOM.json,ICS-0033,urn:uuid:540a0785-bd92-51a2-8845-64a6930d6e80,Schweitzer Engineering Laboratories,SEL-3530 RTAC 3530,2.2.17,ied,firmware,1,linux,manufacturing-process,control-network,post-build,AMBER,,dnp3;iec-61850-mms;modbus-tcp;iec-60870-5-104,15,6
ICS-0034_hitachi-energy_ref615-feeder-protection-relay-ref615_SBOM.json,ICS-0034,urn:uuid:ac47d61f-33fa-503f-a316-6b1c53c89e69,Hitachi Energy,REF615 Feeder Protection Relay REF615,4.2.18,ied,firmware,1,proprietary-rtos,petrochemical,dmz-routable,decommission,AMBER+STRICT,,iec-61850-mms;iec-61850-goose;modbus-tcp;dnp3,17,5
ICS-0035_siemens_siprotec-5-protection-relay-7sj85_SBOM.json,ICS-0035,urn:uuid:c8199cb8-b83b-5115-b045-1b0cbef2cee0,Siemens AG,SIPROTEC 5 Protection Relay 7SJ85,7.11.7,ied,firmware,1,proprietary-rtos,power-transmission,control-network,decommission,RED,,iec-61850-mms;iec-61850-goose;dnp3;iec-60870-5-103,16,5
ICS-0036_ge_multilin-ur-relay-b30_SBOM.json,ICS-0036,urn:uuid:3f359173-d6b3-5810-b129-e6c1ed4b0787,GE Vernova,Multilin UR Relay B30,6.7.8,ied,firmware,1,proprietary-rtos,power-transmission,isolated-cell,post-build,AMBER+STRICT,,iec-61850-mms;iec-61850-goose;dnp3;modbus-tcp,17,5
ICS-0037_schneider_easergy-p3-protection-relay-p3u30_SBOM.json,ICS-0037,urn:uuid:c4d5807a-204e-5507-8945-fb7a5fe92709,Schneider Electric,Easergy P3 Protection Relay P3U30,3.6.12,ied,firmware,1,proprietary-rtos,pulp-and-paper,remote-accessible,design,GREEN,,iec-61850-mms;modbus-tcp;dnp3,14,2
ICS-0038_nari_pcs-9611-feeder-protection-pcs-9611_SBOM.json,ICS-0038,urn:uuid:f7936a89-bb4f-5927-88ff-652037a57c2a,NARI Technology,PCS-9611 Feeder Protection PCS-9611,1.21.36,ied,firmware,1,proprietary-rtos,wastewater,isolated-cell,build,RED,,iec-61850-mms;iec-61850-goose;modbus-tcp,13,5
ICS-0039_hd-hyundai_higen-protection-relay-hgr-100_SBOM.json,ICS-0039,urn:uuid:f593d8b1-d637-52fd-8c3f-ae2d4e192e15,HD Hyundai Electric,HiGEN Protection Relay HGR-100,1.18.16,ied,firmware,1,proprietary-rtos,steel-and-metals,control-network,operations,CLEAR,,iec-61850-mms;modbus-tcp;dnp3,16,3
ICS-0040_siemens_simatic-hmi-comfort-panel-tp1200_SBOM.json,ICS-0040,urn:uuid:4dc88f92-5dde-5192-b7cb-23495ef76d39,Siemens AG,SIMATIC HMI Comfort Panel TP1200,6.13.37,hmi,firmware,2,windows,steel-and-metals,remote-accessible,post-build,AMBER,,profinet;opc-ua;s7comm-plus,13,2
ICS-0041_rockwell_panelview-plus-terminal-7-standard-1000_SBOM.json,ICS-0041,urn:uuid:4643fc05-e229-5135-8b3c-ee1bf8613153,Rockwell Automation,PanelView Plus Terminal 7 Standard 1000,9.4.24,hmi,firmware,2,windows,automotive,dmz-routable,build,AMBER,,ethernet-ip;cip,14,4
ICS-0042_schneider_magelis-gtu-hmi-hmigtu655_SBOM.json,ICS-0042,urn:uuid:0f9bb6be-255d-5d92-8fbc-a8a1eb3c8550,Schneider Electric,Magelis GTU HMI HMIGTU655,8.11.40,hmi,firmware,2,linux,transportation-rail,dmz-routable,decommission,CLEAR,,modbus-tcp;ethernet-ip;opc-ua,21,8
ICS-0043_mitsubishi_got2000-graphic-terminal-gt2712-stba_SBOM.json,ICS-0043,urn:uuid:2c8bbff8-8e31-57b3-b51a-4cc9042b24f5,Mitsubishi Electric,GOT2000 Graphic Terminal GT2712-STBA,6.5.20,hmi,firmware,2,proprietary-rtos,oil-and-gas-upstream,isolated-cell,design,AMBER,,cc-link-ie;melsoft;modbus-tcp,14,4
ICS-0044_advantech_webop-operator-panel-wop-2100t_SBOM.json,ICS-0044,urn:uuid:943ff735-7329-5fa6-89ca-8452c89ac3a0,"Advantech Co., Ltd.",WebOP Operator Panel WOP-2100T,6.22.34,hmi,firmware,2,linux,steel-and-metals,isolated-cell,design,AMBER,,modbus-tcp;ethernet-ip;mqtt,18,6
ICS-0045_delta_dop-100-hmi-dop-107bv_SBOM.json,ICS-0045,urn:uuid:a99e9e14-c825-528c-a3fe-5fbb29fa2928,Delta Electronics,DOP-100 HMI DOP-107BV,4.13.4,hmi,firmware,2,proprietary-rtos,power-transmission,dmz-routable,build,RED,,modbus-tcp;canopen,11,2
ICS-0046_omron_na-series-hmi-na5-12w_SBOM.json,ICS-0046,urn:uuid:609274cf-645f-53d3-8958-3d7cfbedcebe,OMRON Corporation,NA Series HMI NA5-12W,8.22.37,hmi,firmware,2,windows,building-automation,remote-accessible,decommission,AMBER,,ethernet-ip;opc-ua;modbus-tcp,15,5
ICS-0047_pilz_pmi-operator-terminal-pmi-6-primo_SBOM.json,ICS-0047,urn:uuid:32a25c11-a423-5581-9fff-66d14bf0404b,Pilz GmbH,PMI Operator Terminal PMI 6 primo,9.22.18,hmi,firmware,2,linux,petrochemical,remote-accessible,operations,AMBER,,profinet;modbus-tcp,12,1
ICS-0048_aveva_aveva-plant-scada-2020-r2_SBOM.json,ICS-0048,urn:uuid:2f5e18b3-0af8-5001-96a7-c04de491e712,AVEVA Group plc,AVEVA Plant SCADA 2020 R2,7.0.17,scada-server,application,2,windows,transportation-rail,remote-accessible,operations,AMBER,,opc-ua;opc-da;modbus-tcp;dnp3;iec-60870-5-104,17,4
ICS-0049_inductive_ignition-scada-platform-8-1_SBOM.json,ICS-0049,urn:uuid:d24c8d6f-9e11-5a17-b7af-684466838045,Inductive Automation,Ignition SCADA Platform 8.1,9.20.34,scada-server,application,2,java,semiconductor-fab,dmz-routable,decommission,AMBER+STRICT,,opc-ua;modbus-tcp;mqtt-sparkplug;dnp3,18,2
ICS-0050_copadata_zenon-supervisor-10_SBOM.json,ICS-0050,urn:uuid:64f234cc-5a41-53b0-a31b-4442b09adee2,COPA-DATA GmbH,zenon Supervisor 10,8.3.11,scada-server,application,2,windows,manufacturing-discrete,control-network,post-build,RED,,opc-ua;iec-61850-mms;iec-60870-5-104;modbus-tcp,19,7
ICS-0051_siemens_simatic-wincc-v7-5_SBOM.json,ICS-0051,urn:uuid:00b0adec-1270-53c8-8438-51fe1c1ad413,Siemens AG,SIMATIC WinCC V7.5,2.12.34,scada-server,application,2,windows,pharmaceutical,dmz-routable,operations,AMBER,,opc-ua;profinet;s7comm-plus,12,3
ICS-0052_ge_cimplicity-hmi-scada-11-1_SBOM.json,ICS-0052,urn:uuid:84282fea-fad8-50d4-a13e-d93bae22b2fc,GE Vernova,CIMPLICITY HMI/SCADA 11.1,1.22.3,scada-server,application,2,windows,semiconductor-fab,control-network,design,AMBER,,opc-ua;opc-da;modbus-tcp,12,3
ICS-0053_schneider_ecostruxure-geo-scada-expert-2021_SBOM.json,ICS-0053,urn:uuid:35df0189-21f2-5901-8908-9dc7f32aa0a7,Schneider Electric,EcoStruxure Geo SCADA Expert 2021,2.21.5,scada-server,application,2,windows,power-transmission,isolated-cell,post-build,RED,,dnp3;iec-60870-5-104;modbus-tcp;opc-ua,17,5
ICS-0054_rockwell_factorytalk-view-se-12-00_SBOM.json,ICS-0054,urn:uuid:985e8029-4a55-5be6-919b-56af50f92cd2,Rockwell Automation,FactoryTalk View SE 12.00,3.6.11,scada-server,application,2,windows,wastewater,dmz-routable,post-build,CLEAR,,ethernet-ip;opc-ua;cip,18,8
ICS-0055_aveva_aveva-historian-2020-r2_SBOM.json,ICS-0055,urn:uuid:11c538e6-e876-5bb6-9364-2764d3608f6a,AVEVA Group plc,AVEVA Historian 2020 R2,6.19.13,historian,application,3,windows,oil-and-gas-midstream,isolated-cell,post-build,AMBER,,opc-ua;opc-hda;sql,16,5
ICS-0056_ge_proficy-historian-2022_SBOM.json,ICS-0056,urn:uuid:6994e290-2583-55f0-a814-0d6e44fd5907,GE Vernova,Proficy Historian 2022,9.16.26,historian,application,3,windows,building-automation,control-network,design,GREEN,,opc-ua;opc-hda;sql,16,6
ICS-0057_honeywell_uniformance-phd-historian-r500_SBOM.json,ICS-0057,urn:uuid:5323428f-6182-5764-8976-4ba7f09e79f9,Honeywell International,Uniformance PHD Historian R500,9.5.4,historian,application,3,windows,automotive,dmz-routable,post-build,GREEN,,opc-ua;opc-hda;sql,11,4
ICS-0058_emerson_deltav-continuous-historian-14-3_SBOM.json,ICS-0058,urn:uuid:fb9be5ca-b77d-5704-bf01-918ed65ae6d2,Emerson Electric,DeltaV Continuous Historian 14.3,6.20.27,historian,application,3,windows,water-treatment,remote-accessible,build,GREEN,,opc-ua;opc-hda,15,5
ICS-0059_yokogawa_exaquantum-plant-information-system-r3-20_SBOM.json,ICS-0059,urn:uuid:1766b0b2-3a4e-579e-a20c-e4c2916c5f1b,Yokogawa Electric,Exaquantum Plant Information System R3.20,8.0.17,historian,application,3,windows,building-automation,dmz-routable,operations,RED,,opc-ua;opc-hda;sql,13,4
ICS-0060_siemens_tia-portal-engineering-suite-v17_SBOM.json,ICS-0060,urn:uuid:5cad1321-16b7-5961-8689-29a9ee9d63ce,Siemens AG,TIA Portal Engineering Suite V17,3.6.3,engineering-workstation,application,3,windows,steel-and-metals,remote-accessible,decommission,CLEAR,,profinet;s7comm-plus;opc-ua,17,6
ICS-0061_rockwell_studio-5000-logix-designer-32-00_SBOM.json,ICS-0061,urn:uuid:fadfe89e-e135-516c-b90f-662742ab4959,Rockwell Automation,Studio 5000 Logix Designer 32.00,3.11.6,engineering-workstation,application,3,windows,power-distribution,isolated-cell,post-build,AMBER,,ethernet-ip;cip,13,4
ICS-0062_schneider_ecostruxure-control-expert-v15-1_SBOM.json,ICS-0062,urn:uuid:518a27f6-a0d3-5705-9211-0a9943353e8b,Schneider Electric,EcoStruxure Control Expert V15.1,6.1.9,engineering-workstation,application,3,windows,district-heating,isolated-cell,design,CLEAR,,modbus-tcp;ethernet-ip;opc-ua,18,7
ICS-0063_mitsubishi_gx-works3-engineering-tool-1-080j_SBOM.json,ICS-0063,urn:uuid:a9171275-ab6e-56c6-ac66-7a3a62371c2f,Mitsubishi Electric,GX Works3 Engineering Tool 1.080J,5.0.36,engineering-workstation,application,3,windows,district-heating,remote-accessible,decommission,AMBER,,cc-link-ie;melsoft,12,4
ICS-0064_codesys_codesys-development-system-v3-5-sp17_SBOM.json,ICS-0064,urn:uuid:ce8217b6-e71c-5dc1-821c-3b5084bfc31e,CODESYS GmbH,CODESYS Development System V3.5 SP17,2.18.3,engineering-workstation,application,3,windows,manufacturing-discrete,control-network,post-build,CLEAR,,modbus-tcp;opc-ua;ethercat,16,5
ICS-0065_abb_automation-builder-2-5_SBOM.json,ICS-0065,urn:uuid:2c0f5aab-fd13-5c1d-821a-007b59f38bc8,ABB Ltd,Automation Builder 2.5,2.8.24,engineering-workstation,application,3,windows,oil-and-gas-midstream,isolated-cell,operations,RED,,modbus-tcp;profinet;ethercat,15,4
ICS-0066_emerson_deltav-md-plus-controller-md-plus_SBOM.json,ICS-0066,urn:uuid:8cf8d06c-32b9-5e4d-b706-a5bca0847c07,Emerson Electric,DeltaV MD Plus Controller MD Plus,9.24.30,dcs-controller,firmware,1,vxworks,food-and-beverage,dmz-routable,operations,AMBER+STRICT,,deltav-proprietary;modbus-tcp;opc-ua;hart-ip,15,6
ICS-0067_honeywell_experion-c300-controller-c300_SBOM.json,ICS-0067,urn:uuid:a379d771-91a5-5a46-9379-108b7b1a61f7,Honeywell International,Experion C300 Controller C300,2.15.34,dcs-controller,firmware,1,vxworks,transportation-rail,control-network,build,CLEAR,,fte;modbus-tcp;hart-ip;opc-ua,16,4
ICS-0068_yokogawa_centum-vp-field-control-station-afv30d_SBOM.json,ICS-0068,urn:uuid:ed4eeacf-ff6a-5a70-bc5c-9d0e302ae212,Yokogawa Electric,CENTUM VP Field Control Station AFV30D,5.22.26,dcs-controller,firmware,1,proprietary-rtos,petrochemical,isolated-cell,build,GREEN,PLd (ISO 13849),vnet-ip;modbus-tcp;hart-ip;foundation-fieldbus,12,4
ICS-0069_abb_ac-800m-controller-pm866_SBOM.json,ICS-0069,urn:uuid:6aae2534-3774-5c04-8910-0ca6c6852b8f,ABB Ltd,AC 800M Controller PM866,5.0.8,dcs-controller,firmware,1,vxworks,wastewater,remote-accessible,post-build,CLEAR,SIL2,profibus;modbus-tcp;iec-61850-mms;opc-ua,18,6
ICS-0070_siemens_simatic-pcs-7-as-controller-as-410-5h_SBOM.json,ICS-0070,urn:uuid:d921cf19-b9f0-5c98-9c62-1df39db91450,Siemens AG,SIMATIC PCS 7 AS Controller AS 410-5H,6.6.34,dcs-controller,firmware,1,proprietary-rtos,petrochemical,dmz-routable,post-build,CLEAR,SIL2,profibus;profinet;opc-ua,16,4
ICS-0071_hitachi-energy_symphony-plus-hpc800-hpc800_SBOM.json,ICS-0071,urn:uuid:0936983f-d47e-510b-91e8-7c9b692069f0,Hitachi Energy,Symphony Plus HPC800 HPC800,6.9.26,dcs-controller,firmware,1,vxworks,power-distribution,dmz-routable,decommission,AMBER+STRICT,PLd (ISO 13849),modbus-tcp;iec-61850-mms;opc-ua,14,7
ICS-0072_schneider_triconex-tricon-cx-controller-tricon-cx_SBOM.json,ICS-0072,urn:uuid:2319c4e5-493f-57b2-b198-359a224f7cf0,Schneider Electric,Triconex Tricon CX Controller Tricon CX,2.23.4,sis-logic-solver,firmware,1,proprietary-rtos,semiconductor-fab,isolated-cell,design,GREEN,SIL3,tristation;modbus-tcp;opc-ua,16,6
ICS-0073_hima_himax-safety-controller-x-cpu-31_SBOM.json,ICS-0073,urn:uuid:c7089370-7188-527c-9502-b37ddbea0446,HIMA Paul Hildebrandt GmbH,HIMax Safety Controller X-CPU 31,2.13.38,sis-logic-solver,firmware,1,proprietary-rtos,manufacturing-process,isolated-cell,post-build,RED,SIL2,safeethernet;modbus-tcp;opc-ua,13,2
ICS-0074_pilz_pss-4000-safety-controller-pssu-h-plc1_SBOM.json,ICS-0074,urn:uuid:8631bfc8-b86d-5ef9-81da-75edffeeb3a2,Pilz GmbH,PSS 4000 Safety Controller PSSu H PLC1,2.24.22,sis-logic-solver,firmware,1,proprietary-rtos,wastewater,isolated-cell,post-build,CLEAR,SIL3 (IEC 61508),safetynet-p;profinet;modbus-tcp,16,1
ICS-0075_siemens_simatic-s7-1500f-safety-cpu-1511f-1-pn_SBOM.json,ICS-0075,urn:uuid:bb37e630-c9ac-5216-a5f8-85e90c87a5d2,Siemens AG,SIMATIC S7-1500F Safety CPU 1511F-1 PN,8.21.31,sis-logic-solver,firmware,1,proprietary-rtos,manufacturing-process,dmz-routable,design,AMBER+STRICT,SIL3,profisafe;profinet;opc-ua,15,3
ICS-0076_rockwell_guardlogix-safety-controller-1756-l81es_SBOM.json,ICS-0076,urn:uuid:ff599ef0-63b8-52be-83eb-7d7a3bdb1138,Rockwell Automation,GuardLogix Safety Controller 1756-L81ES,3.6.11,sis-logic-solver,firmware,1,vxworks,petrochemical,isolated-cell,design,AMBER+STRICT,SIL2,cip-safety;ethernet-ip,15,5
ICS-0077_moxa_mgate-protocol-gateway-5105-mb-eip_SBOM.json,ICS-0077,urn:uuid:e70f3ac9-fbd7-5f94-bef2-c968945f9d62,Moxa Inc.,MGate Protocol Gateway 5105-MB-EIP,7.10.1,protocol-gateway,firmware,3.5,linux,semiconductor-fab,dmz-routable,decommission,RED,,modbus-tcp;ethernet-ip;profinet;dnp3;iec-60870-5-104,21,7
ICS-0078_softing_edgeaggregator-gateway-ea-500_SBOM.json,ICS-0078,urn:uuid:b51b24c3-5e19-5330-b69b-3d489c613f27,Softing Industrial Automation,edgeAggregator Gateway EA-500,5.15.30,protocol-gateway,application,3.5,linux,chemical,remote-accessible,decommission,AMBER,,opc-ua;mqtt;modbus-tcp;s7comm,18,6
